Code,Name
263-3010-00,Big Data
263-3845-00,Data Management Systems
263-3855-00,Cloud Computing Architecture
252-0535-00,Advanced Machine Learning
261-5110-00,Optimization for Data Science
263-3210-00,Deep Learning
263-5210-00,Probabilistic Artificial Intelligence
263-3710-00,Machine Perception
252-0237-00,Concepts of Object-Oriented Programming
252-0463-00,Security Engineering
252-1414-00,System Security
263-2800-00,Design of Parallel and High-Performance Computing
263-4640-00,Network Security
263-4658-00,Privacy Enhancing Technologies
263-2815-00,Automated Software Testing
263-4660-00,Applied Cryptography
252-1425-00,Geometry: Combinatorics and Algorithms
263-4500-00,Advanced Algorithms
263-4400-00,Advanced Graph Algorithms and Optimization
263-4508-00,Algorithmic Foundations of Data Science
252-0543-01,Computer Graphics
263-5902-00,Computer Vision
252-0538-00,Shape Modeling and Geometry Processing
263-5806-00,Digital Humans
263-5807-00,Computational Models of Motion
227-0558-00,Principles of Distributed Computing
263-3800-00,Advanced Operating Systems
252-3005-00,Natural Language Processing
263-2400-00,Reliable and Trustworthy Artificial Intelligence
263-5005-00,Artificial Intelligence in Education
263-5056-00,Applications of Deep Learning on Graphs
263-5300-00,Guarantees for Machine Learning
263-5351-00,Machine Learning for Genomics
252-0579-00,3D Vision
261-5120-00,Machine Learning for Health Care
263-5000-00,Computational Semantics for Natural Language Processing
263-5051-00,AI Center Projects in Machine Learning
263-5052-00,Interactive Machine Learning: Visualization & Explainability
263-5059-00,Large-Scale AI Engineering
263-5255-00,Foundations of Reinforcement Learning
263-5352-00,Advanced Formal Language Theory
263-5353-20,Philosophy of Language and Computation II
263-5354-00,Large Language Models
227-0434-10,Mathematics of Information
401-3632-00,Computational Statistics
227-0579-00,Hardware Security
252-1411-00,Security of Wireless Networks
263-2520-00,Formal Foundations of Programming Languages
263-4665-00,Zero-Knowledge Proofs
252-0408-00,Cryptographic Protocols
263-2812-00,Program Verification
263-4600-00,Formal Methods for Information Security
263-4656-00,Digital Signatures
227-0417-00,Information Theory I
263-4511-00,Projects in Topological Data Analysis
263-4513-00,Structural Graph Theory
401-3054-14,Probabilistic Methods in Combinatorics
401-3055-64,Algebraic Methods in Combinatorics
401-3901-00,Linear & Combinatorial Optimization
402-0448-01,Quantum Information Processing I: Concepts
263-4509-00,Complex Network Models
263-4510-00,Introduction to Topological Data Analysis
272-0300-00,Algorithmik für schwere Probleme
272-0302-00,Approximations- und Online-Algorithmen
401-3052-10,Graph Theory
401-3902-21,Network & Integer Optimization
227-0560-00,Computer Vision and AI for Autonomous Cars
252-0546-00,Physically-Based Simulation in Computer Graphics
263-5905-00,Mixed Reality
252-0312-00,Mobile Health and Activity Monitoring
252-5706-00,Mathematical Foundations of Computer Graphics and Vision
263-4903-00,Design in Educational Technology
263-5704-00,Artificial Intelligence for Digital Characters
